Customer_ID,Age,Gender,Education,Occupation,Annual_Income,Avg_Monthly_Balance,Credit_Limit,Utilization_Ratio,Loan_Amount,EMI_to_Income,Mobile_App_Usage_Days,Internet_Banking_Frequency,Savings_Account,Credit_Card,Home_Loan,Personal_Loan,Insurance,Mutual_Fund,FD,Cross_Sell_Accepted
1,59,Male,Undergraduate,Business,1329768,20200,174131,0.58,2768586,0.17,1,12,1,0,1,0,1,1,0,0
2,49,Male,Post-Graduate,Professional,1914497,235926,320260,0.95,867621,0.29,10,41,1,0,0,0,1,0,1,0
3,35,Male,Graduate,Business,2337601,109066,224759,0.21,1726972,0.1,18,55,1,1,0,0,0,0,0,0
4,63,Male,Post-Graduate,Professional,667395,68704,355597,0.28,105992,0.13,16,49,1,1,1,0,0,1,0,1
5,28,Female,Undergraduate,Salaried,955347,325631,474453,0.86,1971973,0.21,4,56,1,1,0,0,0,1,0,0
6,41,Female,Post-Graduate,Business,827956,385517,304083,0.61,1852741,0.57,9,25,1,0,1,1,0,1,1,0
7,59,Male,Undergraduate,Business,1687000,187537,246698,0.49,2061564,0.42,23,42,1,0,1,1,0,0,0,1
8,39,Male,Graduate,Professional,2163762,301984,127622,0.56,2162995,0.22,18,50,1,1,0,0,0,1,1,0
9,43,Female,Post-Graduate,Business,2321694,491656,651213,0.32,1848927,0.58,11,33,1,0,0,1,1,1,0,0
10,31,Female,Post-Graduate,Salaried,385058,28435,722215,0.82,318351,0.46,12,15,1,1,0,0,1,0,0,0
11,31,Male,Undergraduate,Self-Employed,548553,57897,550977,0.72,587811,0.55,8,31,1,1,0,0,0,1,0,1
12,44,Male,Post-Graduate,Salaried,2472592,131677,496850,0.63,235112,0.56,1,11,1,1,0,1,1,0,0,0
13,56,Male,Post-Graduate,Self-Employed,1375497,247764,497494,0.89,701126,0.46,8,36,1,1,0,1,0,1,0,1
14,60,Male,Graduate,Salaried,316683,467092,444327,0.57,1471778,0.18,5,57,1,0,1,0,0,1,1,1
15,44,Female,Undergraduate,Salaried,839121,230799,279973,0.51,2334583,0.6,1,6,0,0,1,0,1,1,1,0
16,23,Male,Undergraduate,Business,318290,190484,108251,0.93,2645533,0.23,3,59,1,0,0,0,1,1,0,0
17,42,Male,Graduate,Salaried,1318293,475498,765618,0.24,1604524,0.42,27,45,1,1,0,0,0,1,0,0
18,22,Female,Graduate,Professional,1585411,300628,454624,0.18,2924461,0.51,13,26,1,0,0,1,1,0,1,0
19,44,Female,Undergraduate,Professional,1733806,441874,467218,0.2,2995804,0.15,29,8,1,0,0,0,1,0,0,0
20,64,Female,Graduate,Professional,371656,409269,133274,0.94,2926056,0.38,29,39,1,0,0,0,0,1,1,0
21,50,Female,Graduate,Professional,2962693,399213,418325,0.64,2702272,0.26,16,37,1,0,0,1,1,1,1,0
22,58,Female,Graduate,Business,1297291,485271,389107,0.33,368000,0.18,23,37,0,0,1,0,0,0,0,0
23,22,Male,Undergraduate,Professional,482097,401692,589648,0.27,1472872,0.06,12,48,1,0,0,1,1,1,1,1
24,41,Male,Graduate,Salaried,2223030,458467,180167,0.1,110520,0.53,7,30,1,1,0,1,0,1,0,1
25,53,Male,Post-Graduate,Professional,2388405,443861,799122,0.17,810950,0.12,8,38,1,0,1,1,0,0,1,1
26,32,Female,Post-Graduate,Business,404791,143617,460063,0.87,937666,0.53,11,16,1,1,0,0,1,0,0,0
27,42,Male,Undergraduate,Self-Employed,857004,269249,438962,0.72,25443,0.38,13,15,1,1,0,0,1,1,0,0
28,64,Female,Graduate,Salaried,1617600,221055,573058,0.9,132454,0.39,11,38,1,1,0,1,1,0,0,0
29,45,Male,Post-Graduate,Salaried,1938928,105495,383126,0.43,518168,0.51,4,53,1,0,0,0,0,0,1,1
30,47,Male,Undergraduate,Business,1915957,87213,263465,0.59,486190,0.33,6,8,1,1,0,0,0,0,1,1
31,62,Female,Post-Graduate,Self-Employed,2874212,280704,411386,0.49,2565079,0.25,28,35,1,1,0,0,1,1,1,0
32,48,Female,Graduate,Professional,387941,203447,264302,0.84,771072,0.13,23,9,1,0,0,1,1,0,1,0
33,36,Male,Undergraduate,Self-Employed,951956,144734,89959,0.94,1239397,0.36,24,21,1,0,0,0,0,0,0,0
34,35,Male,Post-Graduate,Salaried,2348862,386185,756852,0.89,1597557,0.35,19,41,0,1,1,0,1,0,0,0
35,64,Male,Undergraduate,Salaried,2097264,219663,102672,0.59,35294,0.21,21,5,1,1,0,0,0,0,0,0
36,23,Male,Post-Graduate,Salaried,745862,311641,512808,0.11,1882788,0.38,8,19,1,1,0,0,1,0,0,0
37,57,Male,Post-Graduate,Self-Employed,2707477,62606,569625,0.61,514506,0.29,6,57,1,1,1,1,0,1,1,0
38,27,Female,Graduate,Professional,1510237,334256,106849,0.14,2712770,0.49,17,48,0,1,0,1,0,1,0,1
39,41,Female,Graduate,Salaried,650116,350478,505529,0.17,1524755,0.36,18,16,1,0,0,0,1,1,0,0
40,29,Female,Post-Graduate,Business,2247439,342488,466704,0.22,1788361,0.56,3,18,1,1,0,1,0,1,0,0
41,59,Female,Undergraduate,Professional,2225187,280192,262380,0.38,306918,0.33,12,12,1,1,0,1,1,1,1,0
42,38,Male,Undergraduate,Salaried,2275292,350787,794012,0.58,679502,0.54,15,16,0,1,0,0,1,0,0,1
43,24,Male,Graduate,Professional,307322,147592,672851,0.35,999999,0.34,7,5,1,1,0,0,0,1,1,1
44,45,Female,Post-Graduate,Business,1122343,420144,379336,0.46,814353,0.36,13,3,1,0,1,1,1,1,0,0
45,34,Male,Graduate,Self-Employed,2099859,458584,290523,0.09,2064786,0.25,10,7,1,0,0,1,1,0,1,0
46,29,Female,Post-Graduate,Salaried,2462417,426717,668679,0.61,1705565,0.27,19,52,1,1,0,1,0,1,1,1
47,46,Male,Post-Graduate,Business,1415494,456967,159615,0.64,1804949,0.56,9,32,0,1,0,0,1,0,0,0
48,22,Male,Graduate,Salaried,2287860,439407,416738,0.14,310636,0.17,25,31,1,1,0,0,0,0,1,0
49,40,Male,Undergraduate,Salaried,720722,301620,252521,0.76,635548,0.12,28,14,1,0,0,0,0,1,0,0
50,48,Female,Graduate,Self-Employed,790600,260565,647797,0.63,797955,0.51,12,24,1,1,0,0,0,1,0,1
51,27,Female,Post-Graduate,Self-Employed,2568106,430164,198047,0.49,1380299,0.37,28,48,1,0,0,0,0,0,0,0
52,64,Female,Graduate,Professional,1146942,145555,170555,0.55,2263651,0.21,11,33,1,1,0,1,0,1,1,0
53,28,Female,Undergraduate,Business,2529929,328267,92392,0.5,463993,0.29,24,5,0,1,1,0,1,0,0,1
54,55,Male,Undergraduate,Business,2075469,382975,587593,0.1,1064579,0.34,25,8,1,1,1,0,0,0,0,1
55,34,Male,Post-Graduate,Self-Employed,2222991,49887,126215,0.71,2143748,0.38,8,2,1,1,1,1,0,1,0,1
56,37,Male,Graduate,Salaried,2900063,224089,312372,0.51,805542,0.5,9,54,1,1,1,0,1,0,0,0
57,56,Male,Undergraduate,Professional,1297575,266030,682152,0.21,2756617,0.27,4,39,1,0,0,0,0,1,1,1
58,60,Female,Graduate,Self-Employed,1700736,217326,133544,0.66,110748,0.42,20,38,1,1,0,0,0,1,0,0
59,24,Male,Undergraduate,Professional,1688385,484125,728834,0.68,1309683,0.51,5,42,1,0,0,0,1,1,0,0
60,22,Male,Post-Graduate,Professional,2840835,360924,53979,0.24,1673940,0.51,7,35,1,1,0,0,1,0,0,1
61,26,Male,Post-Graduate,Business,724001,375883,96343,0.77,897164,0.19,9,38,1,1,1,0,0,0,0,1
62,62,Female,Graduate,Professional,2257835,251731,50739,0.46,2166742,0.24,4,55,0,1,0,0,1,0,0,0
63,24,Female,Post-Graduate,Business,2897431,71055,462774,0.21,2058878,0.38,23,51,1,0,0,0,1,1,0,0
